Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR
I1,05/01/2020,11:30,Brescia,Lazio,1,2,A,1,1,D,4,15,3,7,2,5,12,24,5,4,1,0
I1,05/01/2020,14:00,Spal,Verona,0,2,A,0,1,A,12,14,2,9,3,4,8,15,1,1,1,0
I1,05/01/2020,17:00,Genoa,Sassuolo,2,1,H,1,1,D,10,6,7,3,1,6,23,14,4,6,0,0
I1,05/01/2020,19:45,Roma,Torino,0,2,A,0,1,A,25,9,11,6,14,3,10,21,5,2,0,0
I1,06/01/2020,11:30,Bologna,Fiorentina,1,1,D,0,1,A,12,7,7,4,14,2,14,23,2,4,0,0
I1,06/01/2020,14:00,Atalanta,Parma,5,0,H,3,0,H,18,3,11,1,2,2,12,13,2,4,0,0
I1,06/01/2020,14:00,Juventus,Cagliari,4,0,H,0,0,D,15,5,11,3,3,2,9,15,1,1,0,0
I1,06/01/2020,14:00,Milan,Sampdoria,0,0,D,0,0,D,14,6,12,4,7,5,12,20,1,5,0,0
I1,06/01/2020,17:00,Lecce,Udinese,0,1,A,0,0,D,10,7,6,4,7,8,17,11,1,1,0,0
I1,06/01/2020,19:45,Napoli,Inter,1,3,A,1,2,A,18,9,8,8,3,4,10,22,0,6,0,0
I1,11/01/2020,14:00,Cagliari,Milan,0,2,A,0,0,D,6,8,2,4,3,6,14,13,3,1,0,0
I1,11/01/2020,17:00,Lazio,Napoli,1,0,H,0,0,D,7,11,6,7,6,6,9,7,2,2,0,0
I1,11/01/2020,19:45,Inter,Atalanta,1,1,D,1,0,H,8,12,5,7,0,4,21,13,3,4,0,0
I1,12/01/2020,11:30,Udinese,Sassuolo,3,0,H,1,0,H,13,10,9,5,6,11,13,13,0,0,0,0
I1,12/01/2020,14:00,Fiorentina,Spal,1,0,H,0,0,D,11,9,5,3,3,4,18,10,1,1,0,0
I1,12/01/2020,14:00,Sampdoria,Brescia,5,1,H,2,1,H,22,9,11,5,4,2,14,7,2,3,0,0
I1,12/01/2020,14:00,Torino,Bologna,1,0,H,1,0,H,4,10,3,7,3,9,16,14,6,3,0,0
I1,12/01/2020,17:00,Verona,Genoa,2,1,H,0,1,A,11,3,9,3,4,2,14,22,3,6,0,0
I1,12/01/2020,19:45,Roma,Juventus,1,2,A,0,2,A,16,5,9,4,13,2,12,13,6,3,0,0
I1,13/01/2020,19:45,Parma,Lecce,2,0,H,0,0,D,9,11,5,6,6,5,19,10,4,2,0,0
I1,18/01/2020,14:00,Lazio,Sampdoria,5,1,H,3,0,H,16,6,12,4,6,4,12,13,1,2,0,1
I1,18/01/2020,17:00,Sassuolo,Torino,2,1,H,0,1,A,7,7,6,3,13,6,13,15,2,4,0,0
I1,18/01/2020,19:45,Napoli,Fiorentina,0,2,A,0,1,A,10,9,5,5,4,5,7,10,2,2,0,0
I1,19/01/2020,11:30,Milan,Udinese,3,2,H,0,1,A,19,10,10,7,9,3,17,8,5,1,0,0
I1,19/01/2020,14:00,Bologna,Verona,1,1,D,1,0,H,5,11,3,8,3,8,20,16,6,2,1,0
I1,19/01/2020,14:00,Brescia,Cagliari,2,2,D,1,1,D,9,18,6,10,2,7,10,18,4,4,1,0
I1,19/01/2020,14:00,Lecce,Inter,1,1,D,0,0,D,8,16,3,10,3,14,11,9,2,2,0,0
I1,19/01/2020,17:00,Genoa,Roma,1,3,A,1,2,A,9,14,8,7,7,3,12,13,2,3,0,0
I1,19/01/2020,19:45,Juventus,Parma,2,1,H,1,0,H,14,8,6,7,10,6,12,10,0,1,0,0
I1,20/01/2020,19:45,Atalanta,Spal,1,2,A,1,0,H,14,13,8,7,8,4,15,17,2,3,0,0
I1,24/01/2020,19:45,Brescia,Milan,0,1,A,0,0,D,13,10,7,5,7,3,12,15,2,4,0,0
I1,25/01/2020,14:00,Spal,Bologna,1,3,A,1,1,D,9,12,5,6,5,9,16,15,4,3,0,0
I1,25/01/2020,17:00,Fiorentina,Genoa,0,0,D,0,0,D,15,8,6,6,7,6,18,21,4,3,0,0
I1,25/01/2020,19:45,Torino,Atalanta,0,7,A,0,3,A,6,17,4,15,4,12,17,12,3,2,2,0
I1,26/01/2020,11:30,Inter,Cagliari,1,1,D,1,0,H,14,8,5,3,4,6,10,10,4,1,2,0
I1,26/01/2020,14:00,Parma,Udinese,2,0,H,2,0,H,10,15,5,5,5,11,12,9,2,3,0,0
I1,26/01/2020,14:00,Sampdoria,Sassuolo,0,0,D,0,0,D,15,6,5,2,6,3,16,9,4,1,0,1
I1,26/01/2020,14:00,Verona,Lecce,3,0,H,2,0,H,9,3,5,1,5,0,16,11,2,3,0,1
I1,26/01/2020,17:00,Roma,Lazio,1,1,D,1,1,D,16,3,7,2,7,1,11,12,3,4,0,0
I1,26/01/2020,19:45,Napoli,Juventus,2,1,H,0,0,D,11,7,4,5,3,2,14,14,2,5,0,0
I1,01/02/2020,14:00,Bologna,Brescia,2,1,H,1,1,D,17,3,7,1,6,3,17,14,3,2,0,0
I1,01/02/2020,17:00,Cagliari,Parma,2,2,D,1,1,D,21,17,11,5,8,7,12,15,3,2,0,0
I1,01/02/2020,19:45,Sassuolo,Roma,4,2,H,3,0,H,16,19,9,9,5,11,6,19,1,7,0,1
I1,02/02/2020,11:30,Juventus,Fiorentina,3,0,H,1,0,H,8,7,8,5,10,5,9,13,1,4,0,0
I1,02/02/2020,14:00,Atalanta,Genoa,2,2,D,2,2,D,17,9,10,5,7,1,19,19,2,6,0,1
I1,02/02/2020,14:00,Lazio,Spal,5,1,H,4,0,H,12,10,10,5,5,2,9,7,1,2,0,0
I1,02/02/2020,14:00,Milan,Verona,1,1,D,1,1,D,17,8,6,6,9,3,11,12,1,4,0,1
I1,02/02/2020,17:00,Lecce,Torino,4,0,H,2,0,H,14,11,11,4,5,3,14,23,3,3,0,0
I1,02/02/2020,19:45,Udinese,Inter,0,2,A,0,0,D,11,14,4,10,3,2,10,16,2,2,0,0
I1,03/02/2020,19:45,Sampdoria,Napoli,2,4,A,1,2,A,12,12,10,10,4,6,17,6,4,3,0,0
I1,05/02/2020,19:45,Lazio,Verona,0,0,D,0,0,D,12,12,6,6,6,7,12,15,3,2,0,0
I1,07/02/2020,19:45,Roma,Bologna,2,3,A,1,2,A,14,12,10,8,6,6,11,16,2,4,1,0
I1,08/02/2020,14:00,Fiorentina,Atalanta,1,2,A,1,0,H,5,13,3,7,4,3,20,13,2,2,0,0
I1,08/02/2020,17:00,Torino,Sampdoria,1,3,A,0,0,D,2,8,2,6,2,3,16,19,3,5,1,0
I1,08/02/2020,19:45,Verona,Juventus,2,1,H,0,0,D,9,10,5,5,3,4,11,18,2,3,0,0
I1,09/02/2020,11:30,Spal,Sassuolo,1,2,A,1,0,H,10,16,5,9,1,6,16,16,2,4,0,0
I1,09/02/2020,14:00,Brescia,Udinese,1,1,D,0,0,D,9,16,7,8,4,9,8,17,0,3,0,0
I1,09/02/2020,14:00,Genoa,Cagliari,1,0,H,1,0,H,8,8,5,6,5,3,15,15,3,6,0,0
I1,09/02/2020,14:00,Napoli,Lecce,2,3,A,0,1,A,19,13,9,10,10,4,14,10,5,3,0,0
