Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR
SP1,19/11/17,Ath Bilbao,Villarreal,1,1,D,0,1,A,15,7,3,4,9,7,10,16,1,3,0,0
SP1,19/11/17,Espanol,Valencia,0,2,A,0,0,D,12,7,4,3,3,4,11,17,0,4,0,0
SP1,19/11/17,Las Palmas,Levante,0,2,A,0,0,D,10,11,5,6,3,5,9,22,1,4,0,0
SP1,19/11/17,Malaga,La Coruna,3,2,H,1,1,D,14,12,5,4,5,4,16,15,4,5,0,0
SP1,20/11/17,Eibar,Betis,5,0,H,2,0,H,17,4,7,0,5,2,10,9,2,2,0,1
SP1,24/11/17,Celta,Leganes,1,0,H,1,0,H,14,9,7,2,3,4,13,16,2,3,0,0
SP1,25/11/17,Alaves,Eibar,1,2,A,0,1,A,6,11,2,6,2,5,18,19,7,3,1,1
SP1,25/11/17,Betis,Girona,2,2,D,0,1,A,12,13,6,7,3,5,9,16,2,1,0,0
SP1,25/11/17,Levante,Ath Madrid,0,5,A,0,2,A,17,16,2,11,2,3,11,14,2,1,0,0
SP1,25/11/17,Real Madrid,Malaga,3,2,H,2,1,H,16,9,9,3,6,0,15,13,1,2,0,0
SP1,26/11/17,La Coruna,Ath Bilbao,2,2,D,1,1,D,14,10,4,3,5,2,11,14,4,1,0,0
SP1,26/11/17,Sociedad,Las Palmas,2,2,D,1,1,D,16,8,3,7,11,3,22,14,4,3,1,0
SP1,26/11/17,Valencia,Barcelona,1,1,D,0,0,D,8,12,1,8,3,9,12,11,4,0,0,0
SP1,26/11/17,Villarreal,Sevilla,2,3,A,1,0,H,19,15,4,4,6,6,9,17,4,3,1,0
SP1,27/11/17,Espanol,Getafe,1,0,H,0,0,D,10,7,5,4,6,4,12,18,3,6,0,0
SP1,01/12/17,Malaga,Levante,0,0,D,0,0,D,18,3,2,3,7,2,12,15,1,3,0,0
SP1,02/12/17,Ath Bilbao,Real Madrid,0,0,D,0,0,D,11,19,4,4,3,5,20,13,2,5,0,1
SP1,02/12/17,Ath Madrid,Sociedad,2,1,H,0,1,A,16,10,10,2,5,6,12,10,1,2,0,0
SP1,02/12/17,Barcelona,Celta,2,2,D,1,1,D,21,10,7,5,4,1,11,12,3,6,0,0
SP1,02/12/17,Sevilla,La Coruna,2,0,H,1,0,H,10,11,6,3,6,7,12,16,1,3,0,0
SP1,03/12/17,Eibar,Espanol,3,1,H,2,0,H,10,6,5,3,3,2,13,16,3,3,0,0
SP1,03/12/17,Getafe,Valencia,1,0,H,0,0,D,11,13,3,6,5,12,18,11,8,4,1,0
SP1,03/12/17,Las Palmas,Betis,1,0,H,1,0,H,21,8,7,2,6,4,12,21,1,7,0,1
SP1,03/12/17,Leganes,Villarreal,3,1,H,0,0,D,12,12,5,4,5,6,11,17,2,4,0,0
SP1,04/12/17,Girona,Alaves,2,3,A,0,0,D,11,9,3,4,6,5,8,13,1,2,0,0
SP1,08/12/17,Alaves,Las Palmas,2,0,H,1,0,H,22,6,9,1,8,3,23,12,2,0,0,0
SP1,09/12/17,Getafe,Eibar,0,0,D,0,0,D,6,7,3,2,9,7,14,13,1,4,0,0
SP1,09/12/17,La Coruna,Leganes,1,0,H,1,0,H,15,3,4,0,6,1,16,21,4,4,0,0
SP1,09/12/17,Real Madrid,Sevilla,5,0,H,5,0,H,20,11,8,3,9,3,12,11,0,2,0,0
SP1,09/12/17,Valencia,Celta,2,1,H,1,0,H,13,13,7,5,10,2,16,12,2,5,0,0
SP1,10/12/17,Betis,Ath Madrid,0,1,A,0,1,A,9,4,4,2,3,2,15,19,4,3,0,0
SP1,10/12/17,Levante,Ath Bilbao,1,2,A,0,1,A,12,14,3,3,8,6,11,13,3,3,0,0
SP1,10/12/17,Sociedad,Malaga,0,2,A,0,1,A,18,9,2,5,5,0,10,12,1,1,0,0
SP1,10/12/17,Villarreal,Barcelona,0,2,A,0,0,D,9,16,5,6,2,4,18,13,2,1,1,0
SP1,11/12/17,Espanol,Girona,0,1,A,0,1,A,8,12,3,5,8,6,9,17,1,3,0,0
SP1,15/12/17,Sevilla,Levante,0,0,D,0,0,D,16,10,6,2,8,5,22,14,2,3,0,0
SP1,16/12/17,Ath Bilbao,Sociedad,0,0,D,0,0,D,7,10,1,2,6,6,14,9,3,0,0,0
SP1,16/12/17,Ath Madrid,Alaves,1,0,H,0,0,D,10,11,4,0,4,4,14,16,3,4,0,0
SP1,16/12/17,Eibar,Valencia,2,1,H,0,0,D,15,7,3,3,5,6,13,13,1,4,0,0
SP1,17/12/17,Barcelona,La Coruna,4,0,H,2,0,H,23,10,11,3,6,3,12,10,0,1,0,0
SP1,17/12/17,Celta,Villarreal,0,1,A,0,1,A,10,8,3,5,2,2,11,19,1,3,0,0
SP1,17/12/17,Girona,Getafe,1,0,H,1,0,H,9,7,2,0,1,7,20,25,2,6,0,0
SP1,17/12/17,Las Palmas,Espanol,2,2,D,0,2,A,14,8,5,3,9,2,6,25,3,3,0,0
SP1,18/12/17,Malaga,Betis,0,2,A,0,1,A,18,10,2,4,3,4,15,15,2,2,1,0
SP1,19/12/17,Levante,Leganes,0,0,D,0,0,D,10,10,3,2,6,5,21,17,6,6,1,1
SP1,20/12/17,Getafe,Las Palmas,2,0,H,2,0,H,13,17,7,6,3,1,23,11,3,1,0,0
SP1,20/12/17,Sociedad,Sevilla,3,1,H,1,1,D,14,9,5,4,4,5,9,18,1,5,0,0
SP1,21/12/17,Alaves,Malaga,1,0,H,0,0,D,10,10,5,3,4,4,14,18,3,4,0,0
SP1,21/12/17,Eibar,Girona,4,1,H,2,1,H,16,6,6,1,3,2,14,18,1,2,0,0
SP1,22/12/17,Betis,Ath Bilbao,0,2,A,0,1,A,16,19,6,7,6,9,7,6,1,2,1,0
SP1,22/12/17,Espanol,Ath Madrid,1,0,H,0,0,D,7,9,4,1,2,3,18,22,2,5,0,0
SP1,23/12/17,La Coruna,Celta,1,3,A,0,2,A,15,7,4,3,3,1,20,16,2,2,0,0
SP1,23/12/17,Real Madrid,Barcelona,0,3,A,0,0,D,14,18,5,11,7,7,14,10,2,2,1,0
SP1,23/12/17,Valencia,Villarreal,0,1,A,0,1,A,22,9,3,2,14,1,11,21,7,5,1,1
SP1,06/01/18,Ath Madrid,Getafe,2,0,H,1,0,H,9,10,5,5,5,0,11,16,7,3,1,0
SP1,06/01/18,Las Palmas,Eibar,1,2,A,1,0,H,4,14,2,5,4,3,13,17,3,3,0,0
SP1,06/01/18,Sevilla,Betis,3,5,A,2,2,D,14,9,3,5,12,0,16,18,3,6,0,0
SP1,06/01/18,Valencia,Girona,2,1,H,1,1,D,17,11,7,5,9,7,16,14,5,5,0,0
SP1,07/01/18,Ath Bilbao,Alaves,2,0,H,1,0,H,14,8,8,1,4,1,23,20,2,4,0,0
SP1,07/01/18,Barcelona,Levante,3,0,H,2,0,H,16,9,8,2,3,6,10,22,0,4,0,0
SP1,07/01/18,Celta,Real Madrid,2,2,D,1,2,A,10,19,5,8,3,7,10,15,2,2,0,0
SP1,07/01/18,Leganes,Sociedad,1,0,H,0,0,D,8,9,4,5,5,6,14,11,0,1,0,0
SP1,07/01/18,Villarreal,La Coruna,1,1,D,1,0,H,11,13,5,3,7,5,19,12,4,3,0,0
SP1,08/01/18,Malaga,Espanol,0,1,A,0,1,A,17,6,2,3,6,5,18,11,2,3,0,0
SP1,12/01/18,Getafe,Malaga,1,0,H,0,0,D,7,9,3,2,5,2,19,16,3,1,0,0
SP1,13/01/18,Eibar,Ath Madrid,0,1,A,0,1,A,11,7,4,3,9,1,12,9,2,1,0,0
SP1,13/01/18,Girona,Las Palmas,6,0,H,1,0,H,15,3,8,1,5,2,25,20,2,5,0,0
SP1,13/01/18,La Coruna,Valencia,1,2,A,0,1,A,12,12,2,5,8,10,13,8,2,1,0,0
SP1,13/01/18,Real Madrid,Villarreal,0,1,A,0,0,D,28,10,7,4,11,0,11,12,2,1,0,0
SP1,14/01/18,Alaves,Sevilla,1,0,H,0,0,D,12,14,3,1,5,4,18,12,5,2,1,0
SP1,14/01/18,Espanol,Ath Bilbao,1,1,D,1,1,D,11,8,3,3,4,2,14,16,2,4,0,0
SP1,14/01/18,Levante,Celta,0,1,A,0,1,A,15,3,5,2,6,2,19,7,4,3,0,0
SP1,14/01/18,Sociedad,Barcelona,2,4,A,2,1,H,15,11,6,5,7,3,15,13,2,2,0,0
SP1,15/01/18,Betis,Leganes,3,2,H,2,1,H,16,10,9,6,1,1,12,15,2,3,0,0
SP1,19/01/18,Getafe,Ath Bilbao,2,2,D,1,1,D,17,7,6,6,6,2,17,12,5,1,0,0
SP1,20/01/18,Ath Madrid,Girona,1,1,D,1,0,H,9,6,4,3,2,1,13,15,4,3,0,0
SP1,20/01/18,Espanol,Sevilla,0,3,A,0,2,A,9,12,0,7,8,2,18,14,4,2,0,0
SP1,20/01/18,Las Palmas,Valencia,2,1,H,1,1,D,20,14,6,8,3,6,18,16,2,9,0,2
