Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR
23/12/2024,17:30,Fiorentina,Udinese,1,2,A,1,0,H,14,11,3,4,10,2,10,14,2,5,0,0
23/12/2024,19:45,Inter,Como,2,0,H,0,0,D,17,8,5,4,7,1,13,15,2,2,0,0
28/12/2024,14:00,Empoli,Genoa,1,2,A,0,0,D,12,14,8,5,7,4,16,13,1,2,0,0
28/12/2024,14:00,Parma,Monza,2,1,H,0,0,D,9,10,3,4,4,6,16,21,3,7,0,1
28/12/2024,17:00,Cagliari,Inter,0,3,A,0,0,D,5,20,1,5,5,7,14,5,0,0,0,0
28/12/2024,19:45,Lazio,Atalanta,1,1,D,1,0,H,11,14,5,4,2,7,6,11,2,3,0,0
29/12/2024,11:30,Udinese,Torino,2,2,D,1,0,H,10,12,3,6,4,3,17,12,1,0,0,0
29/12/2024,14:00,Napoli,Venezia,1,0,H,0,0,D,25,4,8,2,14,4,10,12,0,3,0,0
29/12/2024,17:00,Juventus,Fiorentina,2,2,D,1,1,D,15,11,5,4,7,2,14,9,3,1,0,0
29/12/2024,19:45,Milan,Roma,1,1,D,1,1,D,21,12,7,5,6,5,17,8,4,4,0,0
30/12/2024,17:30,Como,Lecce,2,0,H,0,0,D,15,11,8,1,4,4,12,15,3,2,0,0
30/12/2024,19:45,Bologna,Verona,2,3,A,1,2,A,23,8,7,4,11,5,9,24,2,5,1,0
04/01/2025,14:00,Venezia,Empoli,1,1,D,1,1,D,8,18,3,6,2,8,15,14,1,2,0,0
04/01/2025,17:00,Fiorentina,Napoli,0,3,A,0,1,A,14,10,2,4,4,2,17,15,0,1,0,0
04/01/2025,19:45,Verona,Udinese,0,0,D,0,0,D,13,15,3,6,7,3,14,16,3,2,1,0
05/01/2025,11:30,Monza,Cagliari,1,2,A,1,1,D,6,13,2,4,1,3,16,19,2,2,1,0
05/01/2025,14:00,Lecce,Genoa,0,0,D,0,0,D,10,4,3,1,9,4,11,15,0,1,0,0
05/01/2025,17:00,Torino,Parma,0,0,D,0,0,D,12,10,4,3,8,7,9,9,2,1,0,0
05/01/2025,19:45,Roma,Lazio,2,0,H,2,0,H,7,17,5,6,3,10,12,18,4,5,0,1
10/01/2025,19:45,Lazio,Como,1,1,D,1,0,H,12,17,4,4,7,7,14,15,4,3,1,0
11/01/2025,14:00,Empoli,Lecce,1,3,A,0,2,A,15,14,5,6,9,2,11,21,0,3,0,0
11/01/2025,14:00,Udinese,Atalanta,0,0,D,0,0,D,12,4,3,2,5,3,4,16,1,2,0,0
11/01/2025,17:00,Torino,Juventus,1,1,D,1,1,D,11,15,2,9,9,1,18,9,4,1,0,0
11/01/2025,19:45,Milan,Cagliari,1,1,D,0,0,D,24,6,11,2,9,1,9,11,1,2,0,0
12/01/2025,11:30,Genoa,Parma,1,0,H,0,0,D,14,9,4,3,6,9,10,10,2,3,0,0
12/01/2025,14:00,Venezia,Inter,0,1,A,0,1,A,7,17,2,6,4,5,12,11,4,1,0,0
12/01/2025,17:00,Bologna,Roma,2,2,D,0,0,D,14,11,8,4,5,4,18,10,4,1,0,0
12/01/2025,19:45,Napoli,Verona,2,0,H,1,0,H,14,6,3,2,8,1,6,5,0,0,0,0
13/01/2025,19:45,Monza,Fiorentina,2,1,H,1,0,H,10,11,3,2,2,4,26,9,4,1,0,0
14/01/2025,17:30,Como,Milan,1,2,A,0,0,D,12,12,4,6,2,4,11,17,1,6,0,0
14/01/2025,19:45,Atalanta,Juventus,1,1,D,0,0,D,17,17,6,9,3,3,10,7,1,1,0,0
15/01/2025,19:45,Inter,Bologna,2,2,D,2,1,H,12,14,6,6,3,3,19,13,0,0,0,0
17/01/2025,19:45,Roma,Genoa,3,1,H,1,1,D,16,7,7,3,3,2,12,12,1,1,0,0
18/01/2025,14:00,Bologna,Monza,3,1,H,2,1,H,18,3,7,1,4,0,16,18,1,3,0,0
18/01/2025,17:00,Juventus,Milan,2,0,H,0,0,D,15,13,6,3,5,5,19,11,0,2,0,0
18/01/2025,19:45,Atalanta,Napoli,2,3,A,1,2,A,15,6,6,3,3,1,18,9,4,2,0,0
19/01/2025,11:30,Fiorentina,Torino,1,1,D,1,0,H,20,6,6,3,9,2,16,11,3,3,0,1
19/01/2025,14:00,Cagliari,Lecce,4,1,H,0,1,A,19,7,7,2,6,1,11,10,3,1,0,1
19/01/2025,14:00,Parma,Venezia,1,1,D,0,1,A,19,7,8,2,8,2,13,16,2,3,0,0
19/01/2025,17:00,Verona,Lazio,0,3,A,0,2,A,16,14,3,5,5,6,10,8,6,2,1,0
19/01/2025,19:45,Inter,Empoli,3,1,H,0,0,D,18,5,7,1,7,3,11,9,0,0,0,0
20/01/2025,19:45,Como,Udinese,4,1,H,2,0,H,11,6,8,2,3,2,10,16,2,4,1,1
24/01/2025,19:45,Torino,Cagliari,2,0,H,1,0,H,18,6,6,1,6,3,11,10,0,1,0,0
25/01/2025,14:00,Como,Atalanta,1,2,A,1,0,H,15,5,5,3,4,5,15,10,2,3,0,0
25/01/2025,17:00,Napoli,Juventus,2,1,H,0,1,A,14,5,3,2,9,1,9,15,0,0,0,0
25/01/2025,19:45,Empoli,Bologna,1,1,D,1,1,D,5,9,1,8,2,4,25,13,0,0,0,0
26/01/2025,11:30,Milan,Parma,3,2,H,1,1,D,14,12,5,5,7,4,14,7,2,5,0,0
26/01/2025,14:00,Udinese,Roma,1,2,A,1,0,H,10,16,3,10,1,5,15,12,2,2,0,0
26/01/2025,17:00,Lecce,Inter,0,4,A,0,2,A,17,9,4,5,7,0,13,12,0,2,0,0
26/01/2025,19:45,Lazio,Fiorentina,1,2,A,0,2,A,22,7,3,3,14,2,9,12,1,4,0,1
27/01/2025,17:30,Venezia,Verona,1,1,D,1,0,H,9,21,1,5,7,9,16,14,1,1,0,0
27/01/2025,19:45,Genoa,Monza,2,0,H,0,0,D,18,5,6,1,9,6,13,19,0,4,0,0
31/01/2025,19:45,Parma,Lecce,1,3,A,1,1,D,19,6,7,3,3,2,8,14,1,2,0,0
01/02/2025,14:00,Monza,Verona,0,1,A,0,1,A,9,12,2,4,7,3,12,23,2,3,0,0
01/02/2025,14:00,Udinese,Venezia,3,2,H,0,0,D,13,14,5,3,4,6,20,9,3,3,0,0
01/02/2025,17:00,Atalanta,Torino,1,1,D,1,1,D,22,5,10,3,8,0,6,11,0,3,0,0
01/02/2025,19:45,Bologna,Como,2,0,H,1,0,H,15,8,4,1,4,2,16,18,3,4,0,1
02/02/2025,11:30,Juventus,Empoli,4,1,H,0,1,A,23,10,8,3,8,6,14,13,0,3,0,1
02/02/2025,14:00,Fiorentina,Genoa,2,1,H,2,0,H,7,17,6,3,1,8,17,14,3,1,0,0
02/02/2025,17:00,Milan,Inter,1,1,D,1,0,H,10,16,4,6,8,11,5,9,0,2,0,0
02/02/2025,19:45,Roma,Napoli,1,1,D,0,1,A,12,5,2,2,2,3,9,13,2,1,0,0
03/02/2025,19:45,Cagliari,Lazio,1,2,A,0,1,A,15,11,5,6,7,7,14,9,0,0,0,0
06/02/2025,17:00,Fiorentina,Inter,3,0,H,0,0,D,10,11,6,2,1,8,11,10,0,0,0,0
07/02/2025,19:45,Como,Juventus,1,2,A,1,1,D,16,8,6,3,9,1,15,15,3,1,0,0
08/02/2025,14:00,Verona,Atalanta,0,5,A,0,4,A,18,17,7,7,7,2,10,6,2,1,0,0
08/02/2025,17:00,Empoli,Milan,0,2,A,0,0,D,8,16,0,5,2,6,17,10,2,4,1,1
08/02/2025,19:45,Torino,Genoa,1,1,D,1,0,H,10,6,3,2,4,2,11,10,2,2,0,0
09/02/2025,11:30,Venezia,Roma,0,1,A,0,0,D,12,13,3,5,4,6,13,21,2,3,0,0
09/02/2025,14:00,Cagliari,Parma,2,1,H,0,0,D,14,9,3,1,7,6,14,12,0,0,0,0
09/02/2025,14:00,Lazio,Monza,5,1,H,1,0,H,26,3,9,1,8,1,10,12,0,1,0,0
09/02/2025,17:00,Lecce,Bologna,0,0,D,0,0,D,6,8,1,2,6,5,14,16,0,2,0,0
09/02/2025,19:45,Napoli,Udinese,1,1,D,1,1,D,18,8,4,4,6,6,11,10,0,1,0,0
10/02/2025,19:45,Inter,Fiorentina,2,1,H,1,1,D,22,7,8,2,8,1,16,15,4,3,0,0
14/02/2025,19:45,Bologna,Torino,3,2,H,1,1,D,23,8,7,5,8,2,7,17,0,4,0,0
15/02/2025,14:00,Atalanta,Cagliari,0,0,D,0,0,D,9,3,2,0,8,2,7,11,1,1,0,0
15/02/2025,17:00,Lazio,Napoli,2,2,D,1,1,D,12,6,5,3,7,1,9,19,2,2,0,0
15/02/2025,19:45,Milan,Verona,1,0,H,0,0,D,18,7,3,2,10,7,11,18,0,0,0,0
