Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR
26/10/2024,17:30,Las Palmas,Girona,1,0,H,1,0,H,12,8,3,3,3,5,12,14,4,5,0,1
26/10/2024,20:00,Real Madrid,Barcelona,0,4,A,0,0,D,9,15,4,7,10,3,15,17,2,5,0,0
27/10/2024,13:00,Leganes,Celta,3,0,H,0,0,D,7,18,4,5,4,2,15,17,2,2,0,0
27/10/2024,15:15,Getafe,Valencia,1,1,D,0,1,A,15,2,4,1,8,2,20,20,3,7,0,0
27/10/2024,17:30,Betis,Ath Madrid,1,0,H,1,0,H,24,10,3,3,3,10,8,4,3,2,0,0
27/10/2024,20:00,Sociedad,Osasuna,0,2,A,0,2,A,19,10,9,4,14,4,7,14,3,4,0,0
28/10/2024,20:00,Mallorca,Ath Bilbao,0,0,D,0,0,D,4,20,1,1,1,14,9,12,5,1,1,0
01/11/2024,20:00,Alaves,Mallorca,1,0,H,0,0,D,13,7,3,2,7,2,19,12,3,2,0,0
02/11/2024,13:00,Osasuna,Valladolid,1,0,H,1,0,H,20,7,4,4,7,2,21,12,1,5,0,0
02/11/2024,15:15,Girona,Leganes,4,3,H,2,2,D,15,8,6,5,6,1,17,15,2,4,0,0
03/11/2024,13:00,Ath Madrid,Las Palmas,2,0,H,1,0,H,15,1,3,1,9,1,13,13,1,1,0,0
03/11/2024,15:15,Barcelona,Espanol,3,1,H,3,0,H,14,10,9,3,9,5,13,14,0,3,0,0
03/11/2024,17:30,Sevilla,Sociedad,0,2,A,0,1,A,8,9,0,3,5,9,6,17,2,1,0,0
03/11/2024,20:00,Ath Bilbao,Betis,1,1,D,0,0,D,17,7,8,4,6,2,9,8,0,0,0,0
04/11/2024,20:00,Celta,Getafe,1,0,H,1,0,H,10,10,3,2,0,2,12,11,1,4,0,1
08/11/2024,20:00,Vallecano,Las Palmas,1,3,A,0,1,A,35,11,7,3,12,4,9,13,1,3,0,0
09/11/2024,13:00,Real Madrid,Osasuna,4,0,H,2,0,H,18,2,8,0,11,3,9,16,0,2,0,0
09/11/2024,15:15,Villarreal,Alaves,3,0,H,1,0,H,13,9,3,3,7,2,17,21,1,3,0,0
09/11/2024,20:00,Leganes,Sevilla,1,0,H,0,0,D,8,13,4,2,0,6,7,10,2,1,0,1
10/11/2024,13:00,Betis,Celta,2,2,D,1,1,D,19,3,6,2,2,0,12,8,3,0,0,0
10/11/2024,15:15,Mallorca,Ath Madrid,0,1,A,0,0,D,12,9,6,2,7,2,10,16,1,3,0,0
10/11/2024,17:30,Getafe,Girona,0,1,A,0,1,A,8,3,0,2,5,2,25,16,3,3,0,0
10/11/2024,17:30,Valladolid,Ath Bilbao,1,1,D,0,0,D,6,17,3,1,5,5,12,12,4,4,0,0
10/11/2024,20:00,Sociedad,Barcelona,1,0,H,1,0,H,14,11,6,0,7,6,17,6,3,1,0,0
22/11/2024,20:00,Getafe,Valladolid,2,0,H,0,0,D,12,6,5,3,3,2,15,15,3,2,0,0
23/11/2024,13:00,Valencia,Betis,4,2,H,1,1,D,11,7,5,3,2,4,10,16,4,2,0,0
23/11/2024,15:15,Ath Madrid,Alaves,2,1,H,0,1,A,11,4,8,1,5,0,18,19,3,3,0,0
23/11/2024,17:30,Girona,Espanol,4,1,H,4,0,H,12,9,5,1,6,3,4,19,0,3,0,0
23/11/2024,17:30,Las Palmas,Mallorca,2,3,A,0,0,D,14,10,3,3,4,3,10,18,4,2,0,1
23/11/2024,20:00,Celta,Barcelona,2,2,D,0,1,A,15,9,8,4,5,1,13,9,5,5,0,1
24/11/2024,13:00,Osasuna,Villarreal,2,2,D,2,0,H,4,17,3,7,0,8,12,13,6,5,0,0
24/11/2024,15:15,Sevilla,Vallecano,1,0,H,1,0,H,11,9,3,1,8,3,14,14,2,5,0,1
24/11/2024,17:30,Leganes,Real Madrid,0,3,A,0,1,A,4,16,0,9,2,4,17,11,2,0,0,0
24/11/2024,20:00,Ath Bilbao,Sociedad,1,0,H,1,0,H,12,6,4,1,4,4,18,9,3,4,0,0
29/11/2024,20:00,Mallorca,Valencia,2,1,H,1,1,D,9,7,3,1,3,6,9,14,0,0,0,0
30/11/2024,13:00,Barcelona,Las Palmas,1,2,A,0,0,D,27,5,8,3,7,0,7,11,0,0,0,0
30/11/2024,15:15,Alaves,Leganes,1,1,D,0,0,D,18,6,7,3,13,8,15,15,1,4,0,0
30/11/2024,17:30,Espanol,Celta,3,1,H,1,0,H,9,16,5,2,2,5,13,7,2,2,0,0
