Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR
F1,19/10/2019,19:00,Angers,Brest,0,1,A,0,0,D,29,6,6,1,13,3,10,11,1,0,0,0
F1,19/10/2019,19:00,Metz,Nantes,1,0,H,0,0,D,10,9,2,2,3,3,16,13,2,1,0,1
F1,19/10/2019,19:00,Nimes,Amiens,1,1,D,1,0,H,11,13,3,5,1,11,11,15,2,4,0,0
F1,19/10/2019,19:00,Reims,Montpellier,1,0,H,1,0,H,12,9,5,0,4,8,19,11,2,0,0,0
F1,19/10/2019,19:00,Toulouse,Lille,2,1,H,0,0,D,17,9,6,2,3,4,15,11,2,4,0,0
F1,20/10/2019,14:00,Bordeaux,St Etienne,0,1,A,0,0,D,12,6,6,3,8,5,7,18,0,3,0,0
F1,20/10/2019,16:00,Monaco,Rennes,3,2,H,1,1,D,14,10,5,3,3,3,15,15,2,3,0,0
F1,20/10/2019,20:00,Marseille,Strasbourg,2,0,H,1,0,H,11,10,6,2,5,7,13,15,3,2,0,0
F1,25/10/2019,19:45,Nantes,Monaco,0,1,A,0,1,A,15,7,4,2,5,3,9,13,2,2,0,0
F1,26/10/2019,16:30,Lille,Bordeaux,3,0,H,1,0,H,11,5,3,1,3,3,17,18,0,2,0,0
F1,26/10/2019,19:00,Brest,Dijon,2,0,H,0,0,D,15,14,7,5,9,5,10,8,0,0,1,0
F1,26/10/2019,19:00,Lyon,Metz,2,0,H,2,0,H,18,16,7,3,7,2,12,9,1,2,0,0
F1,26/10/2019,19:00,Montpellier,Angers,0,0,D,0,0,D,14,13,3,6,5,2,14,12,2,3,0,0
F1,26/10/2019,19:00,Reims,Nimes,0,0,D,0,0,D,10,7,3,1,4,6,15,13,3,1,0,0
F1,26/10/2019,19:00,Strasbourg,Nice,1,0,H,1,0,H,20,9,6,5,4,7,22,12,1,3,0,1
F1,27/10/2019,14:00,Rennes,Toulouse,3,2,H,2,1,H,14,15,6,5,7,5,18,20,1,2,0,0
F1,27/10/2019,16:00,St Etienne,Amiens,2,2,D,1,0,H,15,11,1,5,5,4,17,17,2,3,0,0
F1,27/10/2019,20:00,Paris SG,Marseille,4,0,H,4,0,H,11,5,7,1,5,3,10,6,2,1,0,0
F1,01/11/2019,19:45,Dijon,Paris SG,2,1,H,1,1,D,10,20,6,4,3,6,12,9,3,2,0,0
F1,02/11/2019,16:30,Marseille,Lille,2,1,H,0,0,D,11,6,1,2,4,4,13,15,1,3,0,0
F1,02/11/2019,19:00,Amiens,Brest,1,0,H,1,0,H,6,14,2,3,3,9,12,11,3,1,0,0
F1,02/11/2019,19:00,Angers,Strasbourg,1,0,H,1,0,H,9,8,5,3,4,8,13,20,1,1,0,0
F1,02/11/2019,19:00,Metz,Montpellier,2,2,D,1,0,H,11,12,4,4,5,3,12,19,1,2,0,0
F1,02/11/2019,19:00,Toulouse,Lyon,2,3,A,1,1,D,12,21,5,8,5,5,10,4,3,0,0,0
F1,03/11/2019,14:00,Bordeaux,Nantes,2,0,H,1,0,H,10,9,7,2,6,9,18,17,4,3,0,0
F1,03/11/2019,16:00,Nice,Reims,2,0,H,2,0,H,12,11,6,3,5,4,11,17,1,3,0,1
F1,03/11/2019,20:00,St Etienne,Monaco,1,0,H,0,0,D,12,11,5,2,2,1,13,10,1,1,0,1
F1,08/11/2019,19:45,Nice,Bordeaux,1,1,D,1,0,H,10,10,5,4,3,4,13,16,2,2,0,0
F1,09/11/2019,16:30,Brest,Paris SG,1,2,A,0,1,A,17,18,4,8,5,4,10,13,1,2,0,0
F1,09/11/2019,19:00,Lille,Metz,0,0,D,0,0,D,13,4,5,1,9,1,16,13,2,2,0,0
F1,09/11/2019,19:00,Monaco,Dijon,1,0,H,1,0,H,18,15,7,3,6,9,11,8,2,0,0,0
F1,09/11/2019,19:00,Reims,Angers,0,0,D,0,0,D,9,13,2,2,2,12,14,11,1,3,0,1
F1,09/11/2019,19:00,Strasbourg,Nimes,4,1,H,2,0,H,20,10,10,4,2,2,13,9,2,2,0,1
F1,10/11/2019,14:00,Rennes,Amiens,3,1,H,1,1,D,22,13,11,6,5,3,12,17,3,4,0,0
F1,10/11/2019,16:00,Montpellier,Toulouse,3,0,H,1,0,H,8,6,3,2,1,3,19,17,2,2,0,0
F1,10/11/2019,16:00,Nantes,St Etienne,2,3,A,2,2,D,9,11,6,4,3,3,6,9,1,0,0,0
F1,10/11/2019,20:00,Marseille,Lyon,2,1,H,2,0,H,10,11,4,4,6,7,14,9,3,0,1,0
F1,22/11/2019,19:45,Paris SG,Lille,2,0,H,2,0,H,11,13,4,8,6,5,13,11,2,0,0,0
F1,23/11/2019,16:30,Lyon,Nice,2,1,H,2,0,H,9,17,4,7,3,6,13,13,2,4,1,1
F1,23/11/2019,19:00,Amiens,Strasbourg,0,4,A,0,1,A,5,17,0,9,3,7,7,8,2,1,1,0
F1,23/11/2019,19:00,Angers,Nimes,1,0,H,0,0,D,21,10,7,2,3,2,12,6,2,1,0,0
F1,23/11/2019,19:00,Brest,Nantes,1,1,D,0,1,A,13,11,4,4,6,5,8,11,2,1,0,0
F1,23/11/2019,19:00,Dijon,Rennes,2,1,H,0,0,D,16,11,6,4,4,4,18,15,1,2,0,0
F1,23/11/2019,19:00,Metz,Reims,1,1,D,0,1,A,9,18,2,6,6,5,14,13,2,2,0,1
F1,24/11/2019,14:00,Bordeaux,Monaco,2,1,H,1,1,D,17,11,6,3,5,12,16,20,3,5,0,1
F1,24/11/2019,16:00,St Etienne,Montpellier,0,0,D,0,0,D,9,8,2,2,1,5,18,19,3,3,0,0
F1,24/11/2019,20:00,Toulouse,Marseille,0,2,A,0,0,D,10,14,3,7,1,7,16,13,3,3,1,0
F1,29/11/2019,19:45,Marseille,Brest,2,1,H,0,0,D,34,4,10,1,8,0,11,14,0,2,0,0
F1,30/11/2019,16:30,Strasbourg,Lyon,1,2,A,1,1,D,9,8,2,4,3,1,12,11,3,1,0,0
F1,30/11/2019,19:00,Lille,Dijon,1,0,H,1,0,H,19,8,5,0,11,3,16,16,2,1,0,0
F1,30/11/2019,19:00,Montpellier,Amiens,4,2,H,1,1,D,20,6,10,2,4,2,13,15,1,2,0,1
F1,30/11/2019,19:00,Nice,Angers,3,1,H,1,1,D,10,10,7,4,0,7,10,13,2,1,0,0
F1,30/11/2019,19:00,Nimes,Metz,1,1,D,0,1,A,14,10,3,4,6,2,12,19,1,6,0,0
F1,30/11/2019,19:00,Reims,Bordeaux,1,1,D,0,1,A,19,5,6,1,15,2,14,14,2,1,1,0
F1,01/12/2019,14:00,Nantes,Toulouse,2,1,H,1,0,H,21,7,8,3,10,4,15,15,1,3,0,1
F1,01/12/2019,16:00,Rennes,St Etienne,2,1,H,1,1,D,14,5,5,1,6,1,15,11,1,3,0,0
F1,03/12/2019,18:00,Angers,Marseille,0,2,A,0,2,A,9,10,2,4,3,1,11,11,1,1,0,0
F1,03/12/2019,18:00,Bordeaux,Nimes,6,0,H,2,0,H,12,7,8,1,0,6,14,13,2,1,0,0
F1,03/12/2019,18:00,Brest,Strasbourg,5,0,H,2,0,H,11,9,8,3,3,7,9,11,2,1,0,0
F1,03/12/2019,20:05,Lyon,Lille,0,1,A,0,0,D,11,8,3,2,9,1,13,9,1,2,0,0
F1,04/12/2019,18:00,Dijon,Montpellier,2,2,D,1,2,A,18,18,2,6,12,6,15,20,3,3,0,0
F1,04/12/2019,18:00,Metz,Rennes,0,1,A,0,1,A,20,12,4,2,8,8,13,8,2,0,0,0
F1,04/12/2019,18:00,St Etienne,Nice,4,1,H,3,1,H,15,16,7,4,8,5,15,11,2,3,0,0
F1,04/12/2019,18:00,Toulouse,Monaco,1,2,A,1,1,D,14,18,3,7,2,6,18,10,0,1,0,0
F1,04/12/2019,20:05,Paris SG,Nantes,2,0,H,0,0,D,10,11,6,4,5,9,11,14,1,2,0,0
F1,06/12/2019,18:00,Lille,Brest,1,0,H,1,0,H,16,6,10,0,7,3,10,9,0,1,0,0
F1,06/12/2019,19:45,Nimes,Lyon,0,4,A,0,1,A,6,22,2,8,1,5,10,15,2,2,2,0
F1,07/12/2019,16:30,Montpellier,Paris SG,1,3,A,1,0,H,6,14,1,5,4,4,17,18,5,3,1,0
F1,07/12/2019,19:00,Monaco,Amiens,3,0,H,0,0,D,20,5,8,2,8,1,10,8,0,0,0,0
F1,07/12/2019,19:00,Nice,Metz,4,1,H,2,0,H,14,18,5,3,2,4,8,13,0,2,0,0
F1,07/12/2019,19:00,Rennes,Angers,2,1,H,1,0,H,8,12,3,1,4,4,15,12,3,1,0,0
F1,07/12/2019,19:00,Strasbourg,Toulouse,4,2,H,2,1,H,18,14,7,9,3,5,10,7,0,1,0,0
F1,08/12/2019,14:00,Reims,St Etienne,3,1,H,1,0,H,10,11,3,4,1,2,10,14,2,2,0,0
F1,08/12/2019,16:00,Nantes,Dijon,1,0,H,0,0,D,17,5,6,1,9,1,12,14,1,2,0,0
F1,08/12/2019,20:00,Marseille,Bordeaux,3,1,H,0,1,A,25,3,6,2,7,0,10,9,2,1,0,0
F1,13/12/2019,19:45,Lille,Montpellier,2,1,H,1,0,H,14,10,9,4,4,5,13,15,3,1,0,0
F1,14/12/2019,16:30,Metz,Marseille,1,1,D,1,0,H,6,16,3,5,1,7,15,13,4,1,0,0
F1,14/12/2019,19:00,Amiens,Dijon,1,1,D,1,1,D,6,10,2,5,5,3,15,8,1,3,0,0
F1,14/12/2019,19:00,Angers,Monaco,0,0,D,0,0,D,10,7,5,2,7,6,16,15,4,3,0,0
F1,14/12/2019,19:00,Brest,Nice,0,0,D,0,0,D,16,15,4,7,5,6,13,11,3,2,0,0
F1,14/12/2019,19:00,Nimes,Nantes,0,1,A,0,1,A,16,10,4,5,9,3,17,21,0,3,0,0
F1,14/12/2019,19:00,Toulouse,Reims,0,1,A,0,1,A,9,10,5,4,4,8,17,14,0,2,0,0
F1,15/12/2019,14:00,Bordeaux,Strasbourg,0,1,A,0,1,A,13,7,3,4,5,7,12,13,3,2,0,0
F1,15/12/2019,16:00,Lyon,Rennes,0,1,A,0,0,D,10,12,3,6,5,7,20,15,3,3,0,0
F1,15/12/2019,20:00,St Etienne,Paris SG,0,4,A,0,2,A,11,21,2,13,5,2,4,9,1,1,1,0
F1,21/12/2019,19:45,Dijon,Metz,2,2,D,2,1,H,19,9,5,3,3,5,13,10,2,3,0,1
F1,21/12/2019,19:45,Marseille,Nimes,3,1,H,0,0,D,19,12,9,5,7,4,12,8,3,2,0,0
F1,21/12/2019,19:45,Monaco,Lille,5,1,H,2,1,H,15,9,6,4,5,6,10,15,5,1,1,0
F1,21/12/2019,19:45,Montpellier,Brest,4,0,H,2,0,H,17,17,6,4,3,2,12,15,1,1,0,0
F1,21/12/2019,19:45,Nantes,Angers,1,2,A,1,0,H,9,13,1,7,5,4,15,6,1,0,0,0
F1,21/12/2019,19:45,Nice,Toulouse,3,0,H,3,0,H,15,8,5,0,12,4,9,18,1,4,0,0
F1,21/12/2019,19:45,Paris SG,Amiens,4,1,H,1,0,H,22,8,10,3,7,3,16,10,0,1,0,0
F1,21/12/2019,19:45,Reims,Lyon,1,1,D,1,1,D,12,15,3,4,4,4,11,16,2,3,0,0
F1,21/12/2019,19:45,Rennes,Bordeaux,1,0,H,0,0,D,12,13,5,2,2,8,11,13,0,3,0,0
F1,21/12/2019,19:45,Strasbourg,St Etienne,2,1,H,1,0,H,5,6,3,1,2,7,16,13,3,2,0,0
F1,10/01/2020,19:45,Rennes,Marseille,0,1,A,0,0,D,9,10,2,4,4,1,15,17,2,5,0,0
F1,11/01/2020,16:30,Bordeaux,Lyon,1,2,A,1,0,H,5,22,2,6,5,4,12,12,1,3,0,0
F1,11/01/2020,19:00,Amiens,Montpellier,1,2,A,1,0,H,7,11,3,4,4,1,18,13,2,1,0,0
F1,11/01/2020,19:00,Angers,Nice,1,1,D,1,1,D,16,8,9,2,7,2,11,12,1,3,0,0
F1,11/01/2020,19:00,Metz,Strasbourg,1,0,H,0,0,D,9,14,4,3,1,6,12,16,1,2,0,0
F1,11/01/2020,19:00,Nimes,Reims,2,0,H,1,0,H,13,6,4,2,5,3,17,26,1,5,0,1
F1,11/01/2020,19:00,Toulouse,Brest,2,5,A,2,1,H,12,15,5,9,5,6,19,10,1,0,0,0
F1,12/01/2020,14:00,St Etienne,Nantes,0,2,A,0,1,A,10,11,1,4,2,1,14,10,2,1,0,0
F1,12/01/2020,16:00,Dijon,Lille,1,0,H,0,0,D,15,12,7,6,2,7,11,20,2,4,1,1
F1,12/01/2020,20:00,Paris SG,Monaco,3,3,D,3,2,H,13,16,6,6,7,7,6,9,0,3,0,0
F1,15/01/2020,18:00,Amiens,Reims,1,1,D,0,1,A,6,6,3,1,2,1,26,16,1,3,0,0
F1,15/01/2020,18:00,Nimes,Rennes,0,1,A,0,0,D,6,8,1,2,3,2,23,20,1,3,0,0
F1,15/01/2020,20:00,Monaco,Paris SG,1,4,A,0,2,A,13,17,4,12,3,5,9,14,2,3,0,0
F1,24/01/2020,19:45,Nice,Rennes,1,1,D,0,0,D,23,21,4,5,9,8,13,14,0,1,0,0
F1,25/01/2020,16:30,Marseille,Angers,0,0,D,0,0,D,9,4,2,0,4,2,17,13,1,2,0,0
F1,25/01/2020,19:00,Brest,Amiens,2,1,H,0,0,D,10,8,3,3,2,7,13,17,2,4,0,0
