Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR
26/10/2024,20:00,Lens,Lille,0,2,A,0,0,D,11,11,4,3,8,2,16,14,4,4,0,0
27/10/2024,14:00,Lyon,Auxerre,2,2,D,1,0,H,12,17,8,4,5,4,7,14,0,4,0,0
27/10/2024,16:00,Montpellier,Toulouse,0,3,A,0,3,A,9,15,2,6,1,3,8,20,1,2,1,0
27/10/2024,16:00,Nice,Monaco,2,1,H,1,1,D,17,11,9,5,6,6,16,11,2,5,0,1
27/10/2024,16:00,Strasbourg,Nantes,3,1,H,1,0,H,9,8,5,6,5,4,15,17,2,3,0,0
27/10/2024,19:45,Marseille,Paris SG,0,3,A,0,3,A,5,19,1,8,1,2,4,7,1,0,1,0
01/11/2024,18:00,Monaco,Angers,0,1,A,0,1,A,11,10,3,3,4,4,16,12,1,1,0,0
01/11/2024,20:00,Lille,Lyon,1,1,D,1,0,H,14,14,2,3,4,9,12,10,3,1,0,0
02/11/2024,16:00,Paris SG,Lens,1,0,H,1,0,H,18,13,8,2,7,4,3,20,1,5,0,1
02/11/2024,18:00,Brest,Nice,0,1,A,0,1,A,16,12,6,3,6,2,9,4,0,2,0,0
02/11/2024,20:00,St Etienne,Strasbourg,2,0,H,0,0,D,13,9,3,3,2,3,9,4,2,1,0,0
03/11/2024,14:00,Toulouse,Reims,1,0,H,0,0,D,13,13,6,2,6,7,16,15,0,3,0,0
03/11/2024,16:00,Auxerre,Rennes,4,0,H,2,0,H,16,7,8,4,3,8,11,15,0,2,0,0
03/11/2024,16:00,Le Havre,Montpellier,1,0,H,0,0,D,12,15,4,1,2,10,11,13,2,1,0,0
03/11/2024,19:45,Nantes,Marseille,1,2,A,1,1,D,7,9,3,4,2,5,16,6,1,1,0,0
08/11/2024,19:45,Marseille,Auxerre,1,3,A,0,3,A,19,10,5,6,5,3,13,16,3,2,0,0
09/11/2024,16:00,Strasbourg,Monaco,1,3,A,1,0,H,5,19,2,8,1,2,16,18,5,2,0,0
09/11/2024,18:00,Lens,Nantes,3,2,H,1,1,D,15,9,3,3,6,1,14,8,2,0,0,0
09/11/2024,20:00,Angers,Paris SG,2,4,A,0,4,A,10,26,3,12,6,8,5,16,0,3,0,0
10/11/2024,14:00,Nice,Lille,2,2,D,0,1,A,17,13,5,6,6,2,12,9,2,2,0,0
10/11/2024,16:00,Le Havre,Reims,0,3,A,0,2,A,10,18,3,7,8,7,10,17,1,4,0,0
10/11/2024,16:00,Montpellier,Brest,3,1,H,2,0,H,14,19,8,6,3,7,18,13,5,1,0,0
10/11/2024,16:00,Rennes,Toulouse,0,2,A,0,2,A,7,9,1,2,5,3,16,16,3,1,0,0
10/11/2024,19:45,Lyon,St Etienne,1,0,H,1,0,H,17,10,7,6,7,6,11,13,3,2,0,0
22/11/2024,18:00,Monaco,Brest,3,2,H,2,0,H,10,12,4,4,2,8,7,12,2,2,0,0
22/11/2024,20:00,Paris SG,Toulouse,3,0,H,1,0,H,17,11,8,2,7,5,11,14,1,2,0,0
23/11/2024,16:00,Lens,Marseille,1,3,A,0,0,D,16,7,7,4,6,0,17,9,3,3,0,0
23/11/2024,18:00,St Etienne,Montpellier,1,0,H,0,0,D,11,11,4,3,5,11,19,11,3,5,0,0
23/11/2024,20:00,Reims,Lyon,1,1,D,0,1,A,14,13,6,7,4,2,11,13,2,0,0,0
24/11/2024,14:00,Lille,Rennes,1,0,H,1,0,H,5,4,2,1,3,3,19,16,3,2,0,0
24/11/2024,16:00,Auxerre,Angers,1,0,H,0,0,D,10,10,6,5,2,2,13,7,4,1,0,0
24/11/2024,16:00,Nantes,Le Havre,0,2,A,0,1,A,18,7,4,5,9,2,14,12,2,1,0,0
24/11/2024,19:45,Nice,Strasbourg,2,1,H,0,1,A,15,10,5,3,4,7,16,8,2,0,0,0
29/11/2024,19:45,Reims,Lens,0,2,A,0,1,A,16,11,3,6,3,1,14,12,1,2,0,0
30/11/2024,16:00,Rennes,St Etienne,5,0,H,2,0,H,18,2,9,0,6,1,14,12,0,1,0,1
30/11/2024,18:00,Brest,Strasbourg,3,1,H,2,0,H,11,12,8,4,4,3,15,8,3,2,0,0
30/11/2024,20:00,Paris SG,Nantes,1,1,D,1,1,D,24,5,10,2,9,3,3,6,0,0,0,0
01/12/2024,14:00,Montpellier,Lille,2,2,D,1,1,D,11,13,5,4,7,2,9,21,4,5,1,1
01/12/2024,16:00,Le Havre,Angers,0,1,A,0,0,D,5,12,1,3,2,4,8,10,2,0,0,0
01/12/2024,16:00,Lyon,Nice,4,1,H,3,1,H,16,16,8,7,5,4,11,11,1,2,0,0
01/12/2024,16:00,Toulouse,Auxerre,2,0,H,2,0,H,12,4,7,0,6,2,14,12,0,0,0,0
01/12/2024,19:45,Marseille,Monaco,2,1,H,0,1,A,9,7,4,4,5,3,15,16,0,1,0,0
06/12/2024,18:00,Lille,Brest,3,1,H,2,0,H,10,7,6,3,2,1,13,16,1,1,0,0
06/12/2024,20:00,Auxerre,Paris SG,0,0,D,0,0,D,6,25,2,11,3,15,8,7,2,1,0,0
07/12/2024,16:00,Monaco,Toulouse,2,0,H,0,0,D,19,6,5,3,2,3,15,16,2,2,0,0
07/12/2024,18:00,Nice,Le Havre,2,1,H,0,0,D,17,12,5,2,5,8,10,10,3,2,0,0
07/12/2024,20:00,Angers,Lyon,0,3,A,0,1,A,10,16,2,10,2,7,13,13,0,2,0,0
08/12/2024,14:00,Lens,Montpellier,2,0,H,1,0,H,18,7,4,4,6,3,15,7,2,3,0,0
08/12/2024,16:00,Nantes,Rennes,1,0,H,0,0,D,14,5,2,3,5,4,15,9,1,1,0,1
08/12/2024,16:00,Strasbourg,Reims,0,0,D,0,0,D,7,11,2,3,3,2,13,16,1,2,0,0
08/12/2024,19:45,St Etienne,Marseille,0,2,A,0,1,A,3,21,2,10,0,9,13,10,1,1,0,0
13/12/2024,19:45,Toulouse,St Etienne,2,1,H,0,0,D,11,3,4,2,2,3,16,15,3,4,0,0
14/12/2024,16:00,Marseille,Lille,1,1,D,1,0,H,9,10,3,5,3,8,14,9,1,3,1,0
14/12/2024,18:00,Auxerre,Lens,2,2,D,1,2,A,10,16,3,5,3,5,10,10,3,1,0,0
14/12/2024,20:00,Reims,Monaco,0,0,D,0,0,D,8,14,0,3,1,4,15,22,1,3,0,0
15/12/2024,14:00,Montpellier,Nice,2,2,D,1,2,A,20,18,8,6,9,4,15,13,1,2,0,0
15/12/2024,16:00,Brest,Nantes,4,1,H,2,0,H,13,16,8,7,0,5,10,14,3,3,0,0
15/12/2024,16:00,Le Havre,Strasbourg,0,3,A,0,2,A,11,9,1,5,3,2,11,7,0,1,0,0
15/12/2024,16:00,Rennes,Angers,2,0,H,1,0,H,7,3,4,0,2,1,18,12,3,1,0,0
15/12/2024,19:45,Paris SG,Lyon,3,1,H,2,1,H,13,7,6,3,4,3,7,8,2,3,0,0
18/12/2024,20:00,Monaco,Paris SG,2,4,A,0,1,A,15,17,5,12,1,9,11,11,2,0,0,0
03/01/2025,20:00,Nice,Rennes,3,2,H,3,1,H,9,10,6,5,3,3,11,14,3,3,1,0
04/01/2025,16:00,St Etienne,Reims,3,1,H,0,1,A,14,11,4,1,6,9,19,10,2,1,0,0
04/01/2025,18:00,Lille,Nantes,1,1,D,1,0,H,13,6,3,2,2,0,6,10,1,2,0,0
04/01/2025,20:00,Lyon,Montpellier,1,0,H,0,0,D,12,16,2,6,3,5,8,10,1,2,0,0
05/01/2025,14:00,Angers,Brest,2,0,H,1,0,H,7,12,2,4,2,4,14,11,2,1,0,0
05/01/2025,14:00,Lens,Toulouse,0,1,A,0,0,D,14,8,1,4,7,1,20,12,5,2,1,0
05/01/2025,14:00,Strasbourg,Auxerre,3,1,H,1,1,D,11,14,4,7,4,3,10,13,1,2,0,0
05/01/2025,19:45,Marseille,Le Havre,5,1,H,3,0,H,15,4,9,1,4,0,12,6,1,0,0,0
10/01/2025,18:00,Nantes,Monaco,2,2,D,1,0,H,10,15,4,7,3,11,17,14,3,0,0,0
10/01/2025,20:05,Auxerre,Lille,0,0,D,0,0,D,13,13,3,5,6,10,7,8,0,4,1,0
11/01/2025,16:00,Brest,Lyon,2,1,H,2,1,H,11,10,6,3,4,7,10,10,1,2,0,0
11/01/2025,18:00,Reims,Nice,2,4,A,1,2,A,12,15,3,10,6,3,12,7,4,2,0,0
11/01/2025,20:05,Rennes,Marseille,1,2,A,1,1,D,5,13,4,7,2,3,11,13,2,2,0,0
12/01/2025,14:00,Le Havre,Lens,1,2,A,1,1,D,8,25,4,7,3,8,11,14,2,2,0,0
