Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR
D1,16/12/2020,17:30,Schalke 04,Freiburg,0,2,A,0,0,D,10,11,2,5,2,3,15,9,2,1,0,0
D1,16/12/2020,19:30,Bayern Munich,Wolfsburg,2,1,H,1,1,D,13,17,2,7,7,7,14,16,3,1,0,0
D1,16/12/2020,19:30,Bielefeld,Augsburg,0,1,A,0,0,D,12,8,2,2,1,3,14,15,1,2,0,0
D1,16/12/2020,19:30,FC Koln,Leverkusen,0,4,A,0,2,A,7,14,1,7,2,6,12,12,1,1,0,0
D1,16/12/2020,19:30,Hoffenheim,RB Leipzig,0,1,A,0,0,D,7,4,3,3,5,5,16,14,2,0,0,0
D1,18/12/2020,19:30,Union Berlin,Dortmund,2,1,H,0,0,D,12,16,5,4,8,6,9,7,1,1,0,0
D1,19/12/2020,14:30,Augsburg,Ein Frankfurt,0,2,A,0,0,D,15,15,4,6,2,4,9,10,1,4,0,0
D1,19/12/2020,14:30,Mainz,Werder Bremen,0,1,A,0,0,D,9,13,1,7,2,5,15,11,2,2,0,0
D1,19/12/2020,14:30,M'gladbach,Hoffenheim,1,2,A,1,0,H,15,14,5,5,3,3,13,22,1,3,1,0
D1,19/12/2020,14:30,RB Leipzig,FC Koln,0,0,D,0,0,D,14,4,6,1,8,2,11,8,1,0,0,0
D1,19/12/2020,14:30,Schalke 04,Bielefeld,0,1,A,0,0,D,11,8,5,3,1,6,17,19,6,5,0,0
D1,19/12/2020,17:30,Leverkusen,Bayern Munich,1,2,A,1,1,D,8,14,3,3,5,7,13,6,1,1,0,0
D1,20/12/2020,14:30,Freiburg,Hertha,4,1,H,1,0,H,17,10,9,3,7,3,9,16,0,0,0,0
D1,20/12/2020,17:00,Wolfsburg,Stuttgart,1,0,H,0,0,D,13,9,4,1,4,6,15,7,2,3,0,0
D1,02/01/2021,14:30,Bielefeld,M'gladbach,0,1,A,0,0,D,7,22,0,7,3,14,8,7,2,1,0,0
D1,02/01/2021,14:30,Ein Frankfurt,Leverkusen,2,1,H,1,1,D,10,10,4,2,2,7,9,6,0,0,0,0
D1,02/01/2021,14:30,FC Koln,Augsburg,0,1,A,0,0,D,12,11,2,4,8,3,20,12,2,3,0,0
D1,02/01/2021,14:30,Hoffenheim,Freiburg,1,3,A,0,3,A,13,7,6,4,8,3,14,22,2,2,0,0
D1,02/01/2021,14:30,Werder Bremen,Union Berlin,0,2,A,0,2,A,10,9,2,2,6,5,15,14,2,4,0,0
D1,02/01/2021,17:30,Hertha,Schalke 04,3,0,H,1,0,H,20,10,10,4,9,5,11,18,2,2,0,0
D1,02/01/2021,19:30,Stuttgart,RB Leipzig,0,1,A,0,0,D,10,22,1,9,3,6,10,10,2,1,0,0
D1,03/01/2021,14:30,Dortmund,Wolfsburg,2,0,H,0,0,D,14,22,7,5,10,5,9,12,3,1,0,0
D1,03/01/2021,17:00,Bayern Munich,Mainz,5,2,H,0,2,A,19,12,12,7,10,2,11,9,2,1,0,0
D1,08/01/2021,19:30,M'gladbach,Bayern Munich,3,2,H,2,2,D,8,15,4,4,3,8,9,11,1,1,0,0
D1,09/01/2021,14:30,Freiburg,FC Koln,5,0,H,2,0,H,12,5,6,2,1,3,14,10,0,0,0,0
D1,09/01/2021,14:30,Leverkusen,Werder Bremen,1,1,D,0,0,D,12,3,3,1,3,1,22,13,2,2,0,0
D1,09/01/2021,14:30,Mainz,Ein Frankfurt,0,2,A,0,1,A,8,15,0,7,3,7,17,15,2,1,0,0
D1,09/01/2021,14:30,Schalke 04,Hoffenheim,4,0,H,1,0,H,12,18,5,5,5,4,14,13,2,4,0,0
D1,09/01/2021,14:30,Union Berlin,Wolfsburg,2,2,D,1,1,D,13,11,6,5,5,3,16,13,3,1,0,1
D1,09/01/2021,17:30,RB Leipzig,Dortmund,1,3,A,0,0,D,12,15,4,7,3,3,8,12,0,2,0,0
D1,10/01/2021,14:30,Augsburg,Stuttgart,1,4,A,0,2,A,14,27,4,11,4,11,7,12,3,2,1,0
D1,10/01/2021,17:00,Bielefeld,Hertha,1,0,H,0,0,D,12,10,2,6,8,3,8,18,1,1,0,0
D1,15/01/2021,19:30,Union Berlin,Leverkusen,1,0,H,0,0,D,10,12,2,4,2,3,9,10,1,2,0,0
D1,16/01/2021,14:30,Dortmund,Mainz,1,1,D,0,0,D,17,8,7,3,1,2,10,19,1,2,0,0
D1,16/01/2021,14:30,FC Koln,Hertha,0,0,D,0,0,D,8,14,2,3,5,4,13,19,2,3,0,0
D1,16/01/2021,14:30,Hoffenheim,Bielefeld,0,0,D,0,0,D,11,8,5,2,5,3,9,21,1,1,0,0
D1,16/01/2021,14:30,Werder Bremen,Augsburg,2,0,H,0,0,D,10,6,5,2,4,4,10,18,0,1,0,0
D1,16/01/2021,14:30,Wolfsburg,RB Leipzig,2,2,D,2,1,H,8,13,2,9,6,6,16,9,4,3,0,0
D1,16/01/2021,17:30,Stuttgart,M'gladbach,2,2,D,0,1,A,19,8,7,5,5,2,11,20,2,3,0,0
D1,17/01/2021,14:30,Bayern Munich,Freiburg,2,1,H,1,0,H,25,8,9,3,14,3,4,14,1,2,0,0
D1,17/01/2021,17:00,Ein Frankfurt,Schalke 04,3,1,H,1,1,D,20,5,11,1,8,2,8,10,0,1,0,0
D1,19/01/2021,17:30,M'gladbach,Werder Bremen,1,0,H,0,0,D,11,11,6,2,7,5,15,11,2,2,0,0
D1,19/01/2021,19:30,Hertha,Hoffenheim,0,3,A,0,1,A,13,11,2,6,3,2,16,16,1,1,0,0
D1,19/01/2021,19:30,Leverkusen,Dortmund,2,1,H,1,0,H,23,15,13,3,6,5,13,8,2,2,0,0
D1,19/01/2021,19:30,Mainz,Wolfsburg,0,2,A,0,0,D,8,8,0,2,2,5,17,15,1,2,0,0
D1,20/01/2021,17:30,Schalke 04,FC Koln,1,2,A,0,1,A,15,12,8,4,5,8,7,11,2,1,0,0
D1,20/01/2021,19:30,Augsburg,Bayern Munich,0,1,A,0,1,A,9,17,0,4,5,7,15,11,2,0,0,0
D1,20/01/2021,19:30,Bielefeld,Stuttgart,3,0,H,1,0,H,9,11,3,3,2,6,9,9,1,0,0,0
D1,20/01/2021,19:30,Freiburg,Ein Frankfurt,2,2,D,1,1,D,11,17,4,4,4,5,10,15,3,3,0,0
D1,20/01/2021,19:30,RB Leipzig,Union Berlin,1,0,H,0,0,D,15,4,5,1,5,1,6,11,1,1,0,0
D1,22/01/2021,19:30,M'gladbach,Dortmund,4,2,H,2,2,D,10,16,7,7,3,7,9,9,1,0,0,0
D1,23/01/2021,14:30,Augsburg,Union Berlin,2,1,H,1,1,D,8,9,4,5,2,3,13,21,3,1,0,0
D1,23/01/2021,14:30,Bielefeld,Ein Frankfurt,1,5,A,1,3,A,8,15,4,8,0,8,14,22,2,2,0,0
D1,23/01/2021,14:30,Freiburg,Stuttgart,2,1,H,2,1,H,9,27,4,11,3,5,20,12,2,0,0,0
D1,23/01/2021,14:30,Leverkusen,Wolfsburg,0,1,A,0,1,A,10,8,4,4,6,2,13,7,1,1,0,0
D1,23/01/2021,14:30,Mainz,RB Leipzig,3,2,H,2,2,D,10,12,4,5,3,9,13,16,2,4,0,0
D1,23/01/2021,17:30,Hertha,Werder Bremen,1,4,A,1,2,A,18,7,10,5,7,1,16,12,2,3,0,0
D1,24/01/2021,14:30,Schalke 04,Bayern Munich,0,4,A,0,1,A,14,32,4,14,3,7,5,9,1,1,0,0
D1,24/01/2021,17:00,Hoffenheim,FC Koln,3,0,H,2,0,H,13,13,4,4,6,9,8,13,2,3,0,0
D1,29/01/2021,19:30,Stuttgart,Mainz,2,0,H,0,0,D,9,10,3,2,2,4,9,20,1,4,0,0
D1,30/01/2021,14:30,Bayern Munich,Hoffenheim,4,1,H,2,1,H,15,15,9,5,10,4,10,8,1,0,0,0
D1,30/01/2021,14:30,Dortmund,Augsburg,3,1,H,1,1,D,14,5,5,1,10,1,12,11,0,1,0,0
D1,30/01/2021,14:30,Ein Frankfurt,Hertha,3,1,H,0,0,D,17,11,8,4,4,7,17,14,1,4,0,0
D1,30/01/2021,14:30,Union Berlin,M'gladbach,1,1,D,1,0,H,13,12,3,4,2,9,12,13,1,3,0,0
D1,30/01/2021,14:30,Werder Bremen,Schalke 04,1,1,D,0,1,A,15,6,6,1,6,1,11,20,0,4,0,0
D1,30/01/2021,17:30,RB Leipzig,Leverkusen,1,0,H,0,0,D,16,8,2,4,6,6,11,15,2,2,0,0
D1,31/01/2021,14:30,FC Koln,Bielefeld,3,1,H,2,0,H,14,9,7,3,3,5,15,17,2,1,0,0
D1,31/01/2021,17:00,Wolfsburg,Freiburg,3,0,H,2,0,H,12,9,6,2,5,10,13,10,0,0,0,0
D1,05/02/2021,19:00,Hertha,Bayern Munich,0,1,A,0,1,A,11,17,7,7,3,11,12,15,2,1,0,0
D1,06/02/2021,14:30,Augsburg,Wolfsburg,0,2,A,0,1,A,9,17,1,9,7,4,10,15,2,0,0,0
D1,06/02/2021,14:30,Freiburg,Dortmund,2,1,H,0,0,D,6,16,3,5,1,1,12,12,1,2,0,0
D1,06/02/2021,14:30,Leverkusen,Stuttgart,5,2,H,2,0,H,25,14,11,7,4,4,12,9,0,0,0,0
D1,06/02/2021,14:30,Mainz,Union Berlin,1,0,H,1,0,H,9,10,5,3,3,1,12,11,2,5,0,1
D1,06/02/2021,14:30,Schalke 04,RB Leipzig,0,3,A,0,1,A,3,24,1,10,1,7,14,16,2,1,0,0
D1,06/02/2021,17:30,M'gladbach,FC Koln,1,2,A,1,1,D,10,7,2,3,4,1,17,11,4,2,0,0
D1,07/02/2021,14:30,Hoffenheim,Ein Frankfurt,1,3,A,0,1,A,8,9,2,5,4,7,15,12,0,3,0,0
D1,12/02/2021,19:30,RB Leipzig,Augsburg,2,1,H,2,0,H,16,4,6,2,3,4,23,15,3,5,0,0
D1,13/02/2021,14:30,Dortmund,Hoffenheim,2,2,D,1,1,D,6,12,3,6,1,7,21,16,3,7,0,0
D1,13/02/2021,14:30,Leverkusen,Mainz,2,2,D,1,0,H,11,19,5,6,2,2,13,17,5,1,0,0
D1,13/02/2021,14:30,Stuttgart,Hertha,1,1,D,1,0,H,11,11,3,3,1,5,21,17,2,2,0,0
D1,13/02/2021,14:30,Werder Bremen,Freiburg,0,0,D,0,0,D,12,8,4,2,4,1,4,20,0,2,0,0
D1,13/02/2021,17:30,Union Berlin,Schalke 04,0,0,D,0,0,D,19,6,3,1,1,6,14,15,3,2,0,0
D1,14/02/2021,14:30,Ein Frankfurt,FC Koln,2,0,H,0,0,D,17,6,7,1,7,2,14,4,3,1,0,0
D1,14/02/2021,17:00,Wolfsburg,M'gladbach,0,0,D,0,0,D,18,12,6,4,9,6,10,11,1,3,0,0
D1,15/02/2021,19:30,Bayern Munich,Bielefeld,3,3,D,0,2,A,19,7,11,3,5,2,7,13,1,1,0,0
D1,19/02/2021,19:30,Bielefeld,Wolfsburg,0,3,A,0,1,A,7,11,2,6,3,8,10,14,0,2,0,0
D1,20/02/2021,14:30,Ein Frankfurt,Bayern Munich,2,1,H,2,0,H,12,22,6,6,6,10,12,7,2,1,0,0
D1,20/02/2021,14:30,FC Koln,Stuttgart,0,1,A,0,0,D,9,9,0,3,0,6,15,10,2,1,0,0
D1,20/02/2021,14:30,Freiburg,Union Berlin,0,1,A,0,0,D,9,15,1,4,2,4,15,14,2,2,0,0
D1,20/02/2021,14:30,M'gladbach,Mainz,1,2,A,1,1,D,12,8,3,6,4,4,10,16,1,1,0,0
